Feature_Value,Actual_Price,Predicted_Price,Feature_Name
6.575,24.0,27.1,RM
6.421,21.6,25.5,RM
7.185,34.7,33.4,RM
6.998,33.4,31.5,RM
7.147,36.2,33.0,RM
6.430,28.7,25.6,RM
6.012,22.9,21.3,RM
6.172,27.1,23.0,RM
5.631,16.5,17.4,RM
6.004,18.9,21.2,RM
6.377,15.0,25.1,RM
6.009,18.9,21.3,RM
5.889,21.7,20.0,RM
5.949,20.4,20.7,RM
6.096,18.2,22.2,RM
5.834,19.9,19.5,RM
5.935,23.1,20.5,RM
5.990,17.5,21.1,RM
5.456,20.2,15.6,RM
5.727,18.2,18.4,RM
6.500,25.0,26.3,RM
6.800,30.0,29.4,RM
7.200,35.0,33.6,RM
5.800,18.0,19.1,RM
6.300,28.0,24.3,RM
6.246,20.4,23.7,RM
6.192,18.9,23.2,RM
7.031,31.1,31.8,RM
6.948,30.7,31.0,RM
7.198,34.1,33.5,RM
6.568,27.7,27.0,RM
6.227,22.6,23.5,RM
5.863,27.4,19.8,RM
5.430,17.1,15.3,RM
5.875,20.0,19.9,RM
6.331,16.2,24.6,RM
6.052,20.9,21.7,RM
6.015,24.5,21.3,RM
6.161,17.3,22.9,RM
5.791,15.9,19.0,RM
5.626,17.8,17.3,RM
5.808,21.2,19.2,RM
5.947,16.5,20.6,RM
5.495,19.5,16.0,RM
5.850,18.0,19.6,RM
6.732,25.3,28.7,RM
6.460,31.0,25.9,RM
6.943,37.0,30.9,RM
5.676,19.5,17.9,RM
6.255,30.9,23.8,RM
